name,id,birthday,department,fav_book
Cletis Willshee,1,11/3/1970,Sales,Essays: English and American
Inna Le Clercq,2,5/26/1979,Human Resources,A Description of Elizabethan England
Bendite MacLice,3,8/14/1953,Marketing,
Victor Heighton,4,7/12/1969,Training,Edward the Second
Callie Barkly,5,7/2/1933,Accounting,
Noreen Kestell,6,3/14/1994,Sales,Taltos
Nikos McMeyler,7,3/13/1968,Support,Ender's Game
Dell Broschek,8,7/27/1979,Human Resources,
Kathryn de Chastelain,9,12/19/1985,Services,Hamlet
Ezmeralda Talmadge,10,3/16/1998,Accounting,The Bungalow Mystery
Ron Waterworth,11,2/3/1944,Accounting,
Sadye Hattersley,12,12/7/1925,Training,The Cartoon History of the Universe
Abner McDuffy,13,7/24/1941,Engineering,The Unauthorized Biography
Minnie Epperson,14,10/21/1946,Engineering,All For Love
Ashley Feehery,15,11/2/1996,Human Resources,ENGLISH POETRY 3: TENNYSON TO WHITMAN
Bartholemy Bister,16,3/1/1983,Training,The Prince
Rora Isaksen,17,5/26/2000,Services,The Penultimate Peril
Ambrose Steabler,18,5/15/1946,Research and Development,The Golden Sayings
Sella Newlands,19,,Engineering,Hymns
Shalom Ambrus,20,12/20/1972,Training,
Tilly Divell,21,9/1/2000,Legal,
Hobey Trevaskis,22,7/28/1937,Legal,The Meditations
Yardley Lavigne,23,10/9/1998,Marketing,Percy Jackson and the Lightning Thief
Tammy Elvey,24,5/26/1943,Legal,
Odelia Winley,25,1/14/1934,Research and Development,
Darci Doog,26,8/15/1958,Services,The Book of Arthur
Sena Stempe,27,9/9/1975,Services,The Fellowship of the Ring
Vanya Cannam,28,8/8/1929,Support,The War of the Worlds
Alexis Doley,29,6/12/1956,Sales,
Giulio Blakeney,30,3/13/1978,Sales,
Olly Stonhewer,31,10/19/1968,Training,The Pilgrim's Progress
Pia Martina,32,9/29/1971,Product Management,The Witch Tree Symbol
Aubree Caughey,33,2/4/1996,Business Development,Callahan's Crosstime Saloon
Sileas Tate,34,2/9/1995,Support,
Lucien Hynes,35,6/21/1988,Services,Antigone
Genevieve O'Geneay,36,12/18/1968,Sales,
Natasha Kitchinghan,37,8/5/1964,Marketing,The Meditations
Tedie Ridoutt,38,12/10/1943,Engineering,The Cenci
Jedidiah Grimston,39,4/24/1922,Sales,
Bink Cuzen,40,12/18/1980,Legal,The Clue of the Leaning Chimney
Ariana Bulcock,41,2/3/1986,Marketing,
Kale Guyver,42,11/23/1933,Accounting,
Claiborn McReath,43,7/23/1953,Product Management,On the Origin of Species By Means of Natural Selection
Izzy Cominotti,44,12/25/1942,Services,The Life of Sir Thomas More
Win Dudderidge,45,5/6/1999,Product Management,Some Thoughts Concerning Education
Tomi Lyven,46,4/15/1995,Product Management,Journeys in Diverse Places
Igor Lambirth,47,3/4/1978,Accounting,The Name of the Wind
Ellie Filipovic,48,5/5/1941,Services,Essays and English Traits
Jenda Eam,49,3/27/1944,Support,Apology
Marcela Denisyev,50,11/8/1956,Business Development,The Secret of the Old Clock
Carlie Fairlie,51,5/19/1971,Support,The Oath of Hippoocrates
Rodina Meyrick,52,5/27/1975,Accounting,The Clue in the Jewel Box
Kirby Challace,53,1/29/1994,Business Development,The Silmarillion
Nicholle Dobbie,54,8/25/1961,Accounting,The Life of Sir Thomas More
Lilian Wellard,55,1/18/1952,Sales,
Marcelline Rathborne,56,6/2/1981,Sales,
Joycelin Teather,57,,Services,The Hidden Staircase
Manon Gledhall,58,3/5/1945,Human Resources,Essays and English Traits
Hashim Althrop,59,7/6/1937,Services,
